,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"164,622,482","+345,560","3,411,065","+6,937","144,706,048","+521,502","16,505,369","101,162","21,120",437.6,,,,All,"
",,,,,
109,109,Ivory Coast,"46,661",,298 ,,"46,115",,248,,"1,732",11,"619,741","22,999","26,946,335 ",Africa,577,"90,424",43,,,9
110,110,Maldives,"45,956",,101 ,,"28,849",,"17,006",90,"83,732",184,"798,691","1,455,224","548,844 ",Asia,12,"5,434",1,,,"30,985"
111,111,Uganda,"42,859",,347 ,,"42,429",,83,24,912,7,"1,062,412","22,607","46,994,167 ",Africa,"1,096","135,430",44,,,2
112,112,Senegal,"40,896",+24,"1,128 ",+1,"39,614",+17,154,9,"2,388",66,"500,044","29,196","17,127,434 ",Africa,419,"15,184",34,1,0.06,9
113,113,Madagascar,"40,326",+122,774 ,+3,"38,166",+221,"1,386",245,"1,424",27,"196,451","6,939","28,309,896 ",Africa,702,"36,576",144,4,0.1,49
114,114,Zimbabwe,"38,572",,"1,582 ",,"36,349",,641,12,"2,563",105,"447,791","29,750","15,051,761 ",Africa,390,"9,514",34,,,43
115,115,Sudan,"34,272",,"2,446 ",,"27,949",,"3,877",,766,55,"232,965","5,207","44,740,073 ",Africa,"1,305","18,291",192,,,87
116,116,Malawi,"34,216",,"1,153 ",,"32,241",,822,11,"1,749",59,"239,237","12,231","19,559,677 ",Africa,572,"16,964",82,,,42
117,117,Angola,"30,787",,677 ,,"25,995",,"4,115",22,912,20,"527,590","15,631","33,753,337 ",Africa,"1,096","49,857",64,,,122
118,118,DRC,"30,620",+11,776 ,,"26,603",,"3,241",,333,8,"155,600","1,693","91,924,513 ",Africa,"3,002","118,459",591,0.1,,35
119,119,Malta,"30,486",+2,417 ,,"29,941",+21,128,,"68,884",942,"900,491","2,034,672","442,573 ",Europe,15,"1,061",0,5,,289
120,120,Australia,"29,983",+5,910 ,,"28,900",,173,1,"1,164",35,"17,581,041","682,537","25,758,366 ",Australia/Oceania,859,"28,306",1,0.2,,7
121,121,Cabo Verde,"28,281",,251 ,,"25,432",,"2,598",23,"50,388",447,"158,645","282,657","561,264 ",Africa,20,"2,236",4,,,"4,629"
122,122,Rwanda,"26,215",,345 ,,"24,764",,"1,106",2,"1,981",26,"1,376,065","104,000","13,231,435 ",Africa,505,"38,352",10,,,84
123,123,Gabon,"23,909",,145 ,,"20,556",,"3,208",16,"10,526",64,"772,653","340,162","2,271,426 ",Africa,95,"15,665",3,,,"1,412"
124,124,Syria,"23,788",,"1,705 ",,"21,073",,"1,010",,"1,331",95,"103,566","5,795","17,870,439 ",Asia,751,"10,481",173,,,57
