,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
0,,World,"161,472,416","+395,655","3,351,188","+6,379","140,292,568","+443,298","17,828,660","104,635","20,715",429.9,,,,All,"
",,,,,
123,123,Gabon,"23,734",,143 ,,"20,270",,"3,321",18,"10,452",63,"763,003","336,020","2,270,706 ",Africa,96,"15,879",3,,,"1,463"
124,124,Syria,"23,543",,"1,676 ",,"19,610",,"2,257",,"1,318",94,"103,566","5,797","17,864,615 ",Asia,759,"10,659",172,,,126
125,125,Guinea,"22,719",,151 ,,"20,341",,"2,227",24,"1,691",11,"444,435","33,074","13,437,438 ",Africa,591,"88,990",30,,,166
126,126,Réunion,"22,644",,169 ,,"21,603",,872,36,"25,137",188,"102,720","114,030","900,815 ",Africa,40,"5,330",9,,,968
127,127,French Guiana,"21,106",,108 ,,"9,995",,"11,003",24,"69,131",354,"232,001","759,897","305,306 ",South America,14,"2,827",1,,,"36,039"
128,128,Cambodia,"20,695",,136 ,,"8,539",,"12,020",,"1,223",8,"1,018,022","60,175","16,917,798 ",Asia,817,"124,396",17,,,710
129,129,Mayotte,"20,176",,171 ,,"2,964",,"17,041",6,"72,458",614,"176,919","635,369","278,451 ",Africa,14,"1,628",2,,,"61,199"
130,130,French Polynesia,"18,797",,141 ,,"18,617",,39,1,"66,584",499,"26,355","93,356","282,307 ",Australia/Oceania,15,"2,002",11,,,138
131,131,Mauritania,"18,745",,457 ,,"17,973",,315,14,"3,943",96,"246,513","51,852","4,754,211 ",Africa,254,"10,403",19,,,66
132,132,Eswatini,"18,492",,671 ,,"17,784",,37,3,"15,798",573,"195,230","166,792","1,170,499 ",Africa,63,"1,744",6,,,32
133,133,Guadeloupe,"16,017",,221 ,,"2,242",,"13,554",33,"40,024",552,"195,404","488,287","400,183 ",North America,25,"1,811",2,,,"33,870"
134,134,Guyana,"14,659",,331 ,,"12,551",,"1,777",14,"18,560",419,"132,331","167,545","789,823 ",South America,54,"2,386",6,,,"2,250"
135,135,Somalia,"14,486",,753 ,,"6,325",,"7,408",,890,46,"120,132","7,383","16,272,317 ",Africa,"1,123","21,610",135,,,455
136,136,Trinidad and Tobago,"14,417",,235 ,,"9,594",,"4,588",15,"10,273",167,"148,770","106,007","1,403,396 ",North America,97,"5,972",9,,,"3,269"
137,137,Mali,"14,149",,507 ,,"9,113",,"4,529",,682,24,"280,272","13,508","20,749,349 ",Africa,"1,466","40,926",74,,,218
138,138,Andorra,"13,470",,127 ,,"13,104",,239,12,"174,094","1,641","193,595","2,502,133","77,372 ",Europe,6,609,0,,,"3,089"
139,139,Burkina Faso,"13,387",,164 ,,"13,184",,39,,626,8,"182,822","8,546","21,393,410 ",Africa,"1,598","130,448",117,,,2
140,141,Haiti,"13,268",,269 ,,"12,397",,602,,"1,152",23,"60,085","5,215","11,522,045 ",North America,868,"42,833",192,,,52
141,142,Papua New Guinea,"13,242",+245,133 ,+3,"10,995",+80,"2,114",,"1,456",15,"104,674","11,512","9,092,401 ",Australia/Oceania,687,"68,364",87,27,0.3,233
142,143,Togo,"13,210",,125 ,,"11,807",,"1,278",,"1,564",15,"320,111","37,906","8,444,886 ",Africa,639,"67,559",26,,,151
143,144,Belize,"12,707",,323 ,,"12,320",,64,1,"31,467",800,"123,300","305,333","403,822 ",North America,32,"1,250",3,,,158
144,145,Curaçao,"12,236",,117 ,,"12,006",,113,22,"74,306",711,"101,728","617,765","164,671 ",North America,13,"1,407",2,,,686
145,146,Hong Kong,"11,818",+3,210 ,,"11,511",+6,97,3,"1,565",28,"14,841,321","1,965,908","7,549,348 ",Asia,639,"35,949",1,0.4,,13
146,147,Martinique,"11,736",,90 ,,98,,"11,548",24,"31,295",240,"170,302","454,122","375,014 ",North America,32,"4,167",2,,,"30,794"
147,148,Suriname,"11,427",,220 ,,"9,985",,"1,222",26,"19,330",372,"54,231","91,737","591,156 ",South America,52,"2,687",11,,,"2,067"
148,149,Djibouti,"11,389",,151 ,,"11,221",,17,,"11,385",151,"152,966","152,914","1,000,343 ",Africa,88,"6,625",7,,,17
149,150,Congo,"11,343",,148 ,,"8,208",,"2,987",,"2,013",26,"141,948","25,193","5,634,351 ",Africa,497,"38,070",40,,,530
150,151,Bahamas,"11,024",+58,216 ,+1,"9,967",+35,841,5,"27,805",545,"91,550","230,908","396,478 ",North America,36,"1,836",4,146,3,"2,121"
151,152,Aruba,"10,814",,104 ,,"10,613",,97,14,"100,917",971,"155,523","1,451,356","107,157 ",North America,10,"1,030",1,,,905
